step,t,mean_foldedness,std_foldedness,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100,sample_101,sample_102,sample_103,sample_104,sample_105,sample_106,sample_107,sample_108,sample_109,sample_110,sample_111,sample_112,sample_113,sample_114,sample_115,sample_116,sample_117,sample_118,sample_119,sample_120,sample_121,sample_122,sample_123,sample_124,sample_125,sample_126,sample_127,sample_128,sample_129,sample_130,sample_131,sample_132,sample_133,sample_134,sample_135,sample_136,sample_137,sample_138,sample_139,sample_140,sample_141,sample_142,sample_143,sample_144,sample_145,sample_146,sample_147,sample_148,sample_149,sample_150,sample_151,sample_152,sample_153,sample_154,sample_155,sample_156,sample_157,sample_158,sample_159,sample_160,sample_161,sample_162,sample_163,sample_164,sample_165,sample_166,sample_167,sample_168,sample_169,sample_170,sample_171,sample_172,sample_173,sample_174,sample_175,sample_176,sample_177,sample_178,sample_179,sample_180,sample_181,sample_182,sample_183,sample_184,sample_185,sample_186,sample_187,sample_188,sample_189,sample_190,sample_191,sample_192,sample_193,sample_194,sample_195,sample_196,sample_197,sample_198,sample_199
0,0.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,0.9609,0.0481,0.2034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2434,0.0000,0.0000,0.0383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0049,0.0000,0.0000,0.0000,0.8976,0.0000,0.4008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0675,0.1326,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.9318,0.2513,0.4250,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0239,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.9898,0.0000,0.0000,0.0000,0.0017,0.0000,1.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0034,0.0000,0.9996,0.9814,0.0004,0.0000,0.9996,0.0000,0.0000,0.0000,0.0000,0.0005,0.2211,0.0000,0.1167,0.9937,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.9179,0.5645,1.0000,0.9992,0.0000,0.0006,1.0000,0.0234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.9744,0.0000,0.0000,0.0000,1.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.1570,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9995,0.8860,0.0000,1.0000,0.0085,0.0000,0.0000,0.0000,0.0280,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.5455,1.0000,0.0000,0.0000,0.0000,0.8254,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.9998,0.9953,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0185,0.0002,0.0000,0.0005,1.0000,0.0011,0.0481,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.9999,0.0000,0.0000,0.0000,0.9366
3,0.9027,0.5355,0.4904,0.0000,0.9987,1.0000,1.0000,0.0000,0.0003,0.0286,1.0000,0.0001,0.0000,1.0000,0.0010,1.0000,0.0000,1.0000,0.9298,1.0000,0.0022,0.0001,1.0000,1.0000,0.9869,1.0000,0.0052,1.0000,0.0000,0.2915,1.0000,0.0000,0.0000,0.8805,0.0001,0.0000,0.0021,0.0000,0.0000,1.0000,0.0000,0.9895,1.0000,1.0000,1.0000,1.0000,0.0000,0.0037,1.0000,1.0000,1.0000,0.8664,1.0000,1.0000,0.0094,0.9855,0.0010,0.0314,1.0000,0.0000,0.0000,0.0000,0.0000,0.9999,0.9998,0.0000,0.0000,0.0002,1.0000,0.0000,0.5188,1.0000,0.0000,1.0000,1.0000,1.0000,0.0105,1.0000,0.0000,1.0000,0.0001,0.0000,0.0000,0.0000,0.0000,1.0000,0.9895,0.0000,1.0000,1.0000,0.9921,1.0000,1.0000,1.0000,0.0002,1.0000,0.8229,0.0063,1.0000,1.0000,1.0000,0.0112,0.0000,0.0098,1.0000,0.0692,0.0000,1.0000,1.0000,0.0000,0.9990,0.0000,0.9999,0.0000,1.0000,0.0068,0.6340,0.0000,0.9903,1.0000,0.0053,1.0000,1.0000,0.9999,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.9999,0.9505,0.0521,0.0046,1.0000,1.0000,1.0000,0.9999,0.9920,0.0000,1.0000,1.0000,0.0000,0.9941,0.0000,0.0366,0.9999,0.0000,1.0000,1.0000,0.0000,0.9977,0.9997,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.9404,1.0000,0.0141,0.0000,0.9997,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0029,0.9999,1.0000,1.0000,1.0000,1.0000,0.0035,1.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.9994,0.0000,0.0000,1.0000,0.0060,0.0095,1.0000,0.0001,1.0000,0.0050,0.0069
4,0.8736,0.8126,0.3830,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0002,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.9991,1.0000,1.0000,1.0000,0.9826,0.0000,1.0000,0.9999,1.0000,0.9991,0.0661,1.0000,1.0000,0.9741,0.0000,1.0000,1.0000,0.0674,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.0041,0.2845,0.9482,1.0000,1.0000,0.0000,0.0004,0.0012,1.0000,0.8903,1.0000,1.0000,1.0000,0.9973,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9999,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0030,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0010,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0044,1.0000,1.0000,1.0000,0.9649,1.0000,1.0000,1.0000,0.9994,0.9831,1.0000,0.1309,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.9671,1.0000,1.0000,1.0000,1.0000,0.9997,1.0000,0.0966,1.0000,0.9985,1.0000,0.0000,1.0000,1.0000,0.0000,0.0269,1.0000,0.0000,0.0996,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9947,0.0000,0.9999,1.0000,1.0000,0.9321,1.0000,1.0000,0.0040,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.1091,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
5,0.8446,0.9269,0.2492,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.9994,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9966,1.0000,1.0000,0.0001,0.9999,1.0000,1.0000,0.0004,1.0000,1.0000,1.0000,1.0000,0.0443,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0548,1.0000,1.0000,1.0000,1.0000,1.0000,0.0002,1.0000,0.0216,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3868,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0010,0.9998,1.0000,0.7736,1.0000,0.9996,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3739,1.0000,1.0000,1.0000,1.0000,0.0783,0.9732,0.9985,1.0000,0.9891,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,1.0000,1.0000,1.0000,0.9993,1.0000,1.0000,0.0000,0.9999,1.0000,0.9998,1.0000,1.0000,1.0000,1.0000,0.7647,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9618,0.0000,1.0000,1.0000,1.0000,1.0000,0.9718,1.0000,0.0001,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9999,0.9873,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9989,1.0000,1.0000,1.0000,1.0000,1.0000
6,0.8155,0.9395,0.2341,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.1822,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0051,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0009,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0001,1.0000,1.0000,1.0000,1.0000,0.9995,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7099,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9814,1.0000,1.0000,1.0000,0.9996,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0024,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0001,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9998,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.9999,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9971,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0197,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
7,0.7864,0.9627,0.1826,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7479,1.0000,1.0000,1.0000,1.0000,1.0000,0.9976,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9986,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0006,1.0000,1.0000,1.0000,1.0000,0.9972,1.0000,1.0000,1.0000,1.0000,0.9985,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9974,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0743,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8618,1.0000,1.0000,1.0000,0.8937,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9908,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9803,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9981,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0006,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
8,0.7573,0.9201,0.2568,1.0000,1.0000,1.0000,0.0001,1.0000,1.0000,0.9998,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0047,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0001,1.0000,1.0000,1.0000,1.0000,0.3353,1.0000,1.0000,0.1649,1.0000,1.0000,0.9870,1.0000,1.0000,1.0000,1.0000,0.3752,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.9031,1.0000,1.0000,1.0000,1.0000,0.9998,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9798,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9999,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7267,0.1358,1.0000,1.0000,1.0000,1.0000,1.0000,0.9641,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9941,1.0000,1.0000,0.0003,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0006,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.9819,0.9996,1.0000,1.0000,0.9998,1.0000,1.0000,1.0000,1.0000,0.7373,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9990,0.9504,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9999,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7892,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
9,0.7282,0.8947,0.3038,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.9861,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.9991,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0001,1.0000,1.0000,1.0000,1.0000,1.0000,0.9977,0.0023,1.0000,1.0000,0.9998,1.0000,1.0000,1.0000,1.0000,0.0016,1.0000,1.0000,0.1091,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.9699,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0077,0.9999,1.0000,1.0000,1.0000,0.9975,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9737,1.0000,1.0000,1.0000,1.0000,0.0005,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9977,1.0000,1.0000,1.0000,0.9998,1.0000,1.0000,1.0000,0.9770,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0273,1.0000,1.0000,1.0000,1.0000,1.0000,0.9925,1.0000,0.9919,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0006,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0028,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0197,1.0000,0.9974,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9038,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9765,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0010,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
